Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-94,-79,-83,
-94,-79,-83,
-94,-79,-83,
-92,-80,-83,
-92,-80,-83,
-92,-80,-83,
-92,-80,-83,
-97,-79,-82,
-97,-79,-82,
-97,-79,-82,
-97,-79,-82,
,-79,-83,
,-79,-83,
,-79,-83,
,-79,-83,
-91,-79,-82,
-91,-79,-82,
-91,-79,-82,
-91,-79,-82,
,-78,-84,
,-78,-84,
,-78,-84,
,-78,-84,
-91,-79,-84,
-91,-79,-84,
-91,-79,-84,
-91,-79,-84,
,-79,-83,
,-79,-83,
,-79,-83,
,-79,-83,
,-79,-82,
,-79,-82,
,-79,-82,
,-79,-82,
-94,-80,-82,
-94,-80,-82,
-94,-80,-82,
-94,-80,-82,
-104,-80,-82,
-104,-80,-82,
-104,-80,-82,
-104,-80,-82,
-93,-83,-81,
-93,-83,-81,
-93,-83,-81,
-93,-83,-81,
-98,-83,-81,
-98,-83,-81,
-98,-83,-81,
-98,-83,-81,
,-88,-80,
,-88,-80,
,-88,-80,
,-88,-80,
,-94,-82,
,-94,-82,
,-94,-82,
,-94,-82,
,-89,-87,
,-89,-87,
,-89,-87,
,-89,-87,
-102,-82,-81,
-102,-82,-81,
-102,-82,-81,
-102,-82,-81,
-98,-82,-76,
-98,-82,-76,
-98,-82,-76,
-98,-82,-76,
-103,-82,-74,
-103,-82,-74,
-103,-82,-74,
-103,-82,-74,
-97,-84,-75,
-97,-84,-75,
-97,-84,-75,
-97,-84,-75,
,-85,-74,
,-85,-74,
,-85,-74,
,-85,-74,
-89,-98,-73,
-89,-98,-73,
-89,-98,-73,
-89,-98,-73,
-97,-88,-86,
-97,-88,-86,
-97,-88,-86,
-97,-88,-86,
-97,-90,-88,
-97,-90,-88,
-97,-90,-88,
-97,-90,-88,
,-97,-81,
,-97,-81,
,-97,-81,
,-97,-81,
,-89,-75,
,-89,-75,
,-89,-75,
,-89,-75,
,-86,-69,
,-86,-69,
,-86,-69,
,-86,-69,
,-84,-76,
,-84,-76,
,-84,-76,
,-84,-76,
-89,-91,-71,
-89,-91,-71,
-89,-91,-71,
-89,-91,-71,
-95,-101,-69,
-95,-101,-69,
-95,-101,-69,
-95,-101,-69,
-77,,-66,
-77,,-66,
-77,,-66,
-77,,-66,
-72,-85,-68,
-72,-85,-68,
-72,-85,-68,
-72,-85,-68,
-73,-95,-70,
-73,-95,-70,
-73,-95,-70,
-73,-95,-70,
-75,-90,-74,
-75,-90,-74,
-75,-90,-74,
-75,-90,-74,
-93,-95,-82,
-93,-95,-82,
-93,-95,-82,
-93,-95,-82,
-75,-81,-92,
-75,-81,-92,
-75,-81,-92,
-75,-81,-92,
-75,-85,-87,
-75,-85,-87,
-75,-85,-87,
-75,-85,-87,
-82,-84,-81,
-82,-84,-81,
-82,-84,-81,
-82,-84,-81,
-89,-74,-84,
-89,-74,-84,
-89,-74,-84,
-89,-74,-84,
,-78,-86,
,-78,-86,
,-78,-86,
,-78,-86,
,-75,-88,
,-75,-88,
,-75,-88,
,-75,-88,
-88,-71,-84,
