Seconds,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
1,-83.8,,-93.9,-83.6
2,-91.1,,-96.7,-76.4
3,-91.5,,-95.6,-75.4
4,-83.2,,-94.4,-77.2
5,-88.8,,-97.4,-78.3
6,-91.9,,-96.9,-84.5
7,-89.1,,-96.4,-83.5
8,-90.4,,-97.2,-76
9,-78.2,,-91,-73.9
10,-78.2,,-88.8,-76.3
11,-83.1,,-87.3,-77.3
12,-80.8,,-84.3,-76.5
13,-85.3,,-91.4,-83.9
14,-84.6,,-91.3,-84
15,-84.1,,-90.9,-86
16,-86.3,,-93.1,-86.8
17,-86.5,,-92.7,-83.6
18,-83.7,,-93.5,-85.4
19,-82.3,,-93.2,-84.5
20,-83,,-93.9,-81.3
21,-83.8,,-92.5,-79.5
22,-82.9,,-92.5,-85.2
23,-87.5,,-92.4,-82.7
24,-83.6,,-87,-81.6
25,-83.9,,-83.6,-85.4
26,-85.5,,-85.1,-84.6
27,-84.9,,-84.8,-85.1
28,-83,,-82.6,-83.2
29,-82.6,,-83.8,-79
30,-83.2,,-84,-78
31,-84.6,,-84.9,-78.7
32,-84.5,,-84.3,-78.6
33,-84.5,,-84.1,-80.5
34,-84.3,,-85.7,-87.4
35,-83.2,,-87,-80.8
36,-83.1,,-78.9,-79.6
37,-88.2,,-83.3,-69.9
38,-91.2,,-88.3,-74.2
39,-87.9,,-79.9,-84.2
40,-89,,-84.7,-85.8
41,-77.9,,-76.1,-89.3
42,-79.2,,-83.2,-83
43,-82.5,,-79,-84.2
44,-82.1,,-84.3,-85.4
45,-87.1,,-83.8,-86.2
46,-86.8,,-83.4,-82.2
47,-82.2,,-80.9,-78
48,-83.8,,-80,-78
49,-79.9,,-79.7,-82.8
50,-80,,-79.9,-82.7
51,-80.2,,-79.5,-76.2
52,-79.9,,-79.2,-77.4
53,-79.2,,-79.6,-82.2
54,-79.5,,-79.9,-77.2
55,-79.7,,-80,-77
56,-79.5,,-80,-77.5
57,-80.3,,-80,-78
58,-80.3,,-80,-78
59,-80.5,,-80,-78.2
60,-83.3,,-81,-81.6
61,-80.7,,-80,-78.1
62,-80.3,,-80,-78.7
63,-80,,-79.8,-83.6
64,-79.9,,-79.7,-79.4
65,-80.6,,-79.2,-79.4
66,-84.9,,-80.7,-79.2
67,-87.1,,-82.8,-84.9
68,-80,,-76.1,-81.3
69,-78,,-76.9,-84.4
70,-77.6,,-77.6,-85.6
71,-75.9,,-78.9,-81.6
72,-76.5,,-79.4,-81.2
73,-75.8,,-78.9,-83.6
74,-75,,-77.8,-82.2
75,-75,,-77.9,-84.9
76,-75.8,,-78.8,-89.9
77,-77.4,,-79,-84.8
78,-77.6,,-78.7,-82.2
79,-77.9,,-78,-87.4
80,-86.9,,-81.4,-88.7
81,-83.4,,-81.8,-86.7
82,-76.6,,-78.6,-83.7
83,-76.7,,-78.4,-80.2
84,-76.6,,-78.4,-81.7
85,-80.6,,-87.3,-81.2
86,-92,,-84.7,-85.3
87,-86.1,,-83.1,-85
88,-96.6,,-93.6,-97.5
89,-101.6,,-96.8,-95
90,-97.5,,-91.7,-97.4
91,-90.7,,-89,-96.3
92,-92.8,,-92.3,-98.5
93,-97,,-97.7,-90.5
94,-95,,-98,-88.8
95,-95,,-100.8,-89.1
96,-95,,-102.2,-90.4
97,-95,,-100,-92.6
98,-95,,-100,-86.9
99,-95,,-100,-87.2
100,-95,,-100,-91.4
101,-95,,-100,-90.6
102,-95,,-100,-89.5
103,-95,,-100,-86.5
104,-99.9,,-99.8,-90.6
105,-103.8,,-98.1,-96
106,-101.4,,-97.4,-95.3
107,-98,,-99.7,-91.5
108,-98,,-102.4,-92.4
109,-98,,-97.7,-96.4
110,-98,,-101,-90.3
111,-98,,-103.2,-86.9
112,-99.5,,-105,-94.3
113,-103,,-103.3,-93.7
114,-103,,-100,-86.9
115,-103,,-100,-89.2
116,-98.1,,-100,-88.4
117,-100.5,,-98.6,-85.6
118,-99.8,,-98,-93.6
119,-97,,-98,-93.4
120,-99.3,,-98,-93.8
121,-102,,-98,-89
122,-102.6,,-99.8,-82.4
123,-104,,-100,-82.6
124,-104,,-100,-82.1
125,-104,,-100,-84
126,-104,,-100,-81.4
127,-104,,-100,-81.9
128,-104,,-100,-81.3
129,-104,,-100,-81.6
130,-103.4,,-100,-85.6
131,-98,,-100,-87.9
132,-98,,-100,-82.8
133,-98,,-100,-82.3
134,-98,,-100,-85.1
135,-98,,-100,-85.3
136,-98,,-100,-85.9
137,-98,,-100,-86
138,-98,,-100,-86
139,-98,,-100,-86
140,-98,,-100,-90.6
141,-98,,-100,-96.2
142,-98,,-100,-92.6
143,-98,,-100,-84.6
144,-98,,-100,-86.2
145,-98,,-100,-86.4
146,-98,,-100,-86
147,-98,,-100,-85.8
148,-98,,-100,-85.7
149,-98,,-100,-88.1
150,-98,,-100,-90.2
151,-98,,-100,-90.3
152,-98,,-100,-83.45
153,-98,,-100,-85.3
154,-98,,-100,-86.85
155,-98,,-100,-89.95
156,-98,,-100,-85.85
157,-98,,-100,-84.2
