Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-89.9,,-96.1,-71.3
-90.7,,-96.5,-71.4
-92.0,,-98.1,-72.2
-86.0,,-98.2,-70.0
-87.9,,-94.4,-68.8
-97.7,,-97.5,-71.3
-81.7,,-84.4,-74.7
-79.8,,-81.7,-86.0
-81.4,,-81.8,-85.6
-83.3,,-80.6,-78.2
-82.6,,-81.0,-79.0
-81.1,,-81.4,-82.8
-81.7,,-81.9,-84.0
-82.2,,-82.5,-83.7
-81.4,,-81.0,-85.5
-80.1,,-82.4,-85.8
-78.3,,-77.0,-82.9
-85.1,,-78.2,-82.9
-89.8,,-81.0,-81.4
-90.4,,-79.3,-91.5
-73.9,,-71.0,-86.6
-75.0,,-79.9,-99.4
-79.5,,-87.2,-103.0
-79.5,,-81.9,-103.0
-81.4,,-84.2,-102.8
-85.9,,-95.4,-103.0
-84.9,,-88.5,-103.0
-76.5,,-76.4,-102.7
-76.5,,-85.0,-100.0
-71.9,,-86.5,-99.1
-73.4,,-83.6,-99.0
-74.7,,-82.9,-100.5
-82.0,,-87.1,-96.8
-96.4,,-96.1,-91.0
-99.5,,-96.6,-92.9
-99.0,,-98.7,-99.5
-93.0,,-93.6,-97.2
-89.8,,-86.1,-100.8
-91.6,,-82.3,-98.4
-94.5,,-89.1,-101.5
-101.8,,-96.8,-97.6
-100.9,,-93.0,-94.9
-101.0,,-93.0,-92.9
-101.0,,-93.0,-91.5
-101.0,,-96.3,-90.6
-101.0,,-104.0,-94.8
-101.0,,-104.0,-91.3
-101.0,,-104.0,-87.8
-101.3,,-100.9,-80.5
-98.5,,-95.7,-80.1
-100.4,,-93.1,-89.5
-101.2,,-89.9,-93.4
-93.8,,-91.8,-95.0
-97.9,,-97.0,-91.3
-100.9,,-98.2,-96.1
-103.3,,-99.3,-92.2
-101.3,,-99.3,-96.4
-101.0,,-100.3,-86.8
-97.4,,-97.1,-94.6
-102.4,,-99.4,-93.8
-103.0,,-98.0,-89.3
-101.9,,-99.2,-89.1
-99.0,,-102.0,-87.7
-100.0,,-102.0,-87.6
-99.7,,-102.0,-86.9
