Seconds,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP,Room
1,-83.8,,-93.9,-83.6,-1
2,-91.1,,-96.7,-76.4,-1
3,-91.5,,-95.6,-75.4,-1
4,-83.2,,-94.4,-77.2,-1
5,-88.8,,-97.4,-78.3,-1
6,-91.9,,-96.9,-84.5,-1
7,-89.1,,-96.4,-83.5,-1
8,-90.4,,-97.2,-76.0,-1
9,-78.2,,-91.0,-73.9,-1
10,-78.2,,-88.8,-76.3,-1
11,-83.1,,-87.3,-77.3,-1
12,-80.8,,-84.3,-76.5,-1
13,-85.3,,-91.4,-83.9,-1
14,-84.6,,-91.3,-84.0,-1
15,-84.1,,-90.9,-86.0,-1
16,-86.3,,-93.1,-86.8,-1
17,-86.5,,-92.7,-83.6,-1
18,-83.7,,-93.5,-85.4,-1
19,-82.3,,-93.2,-84.5,-1
20,-83.0,,-93.9,-81.3,-1
21,-83.8,,-92.5,-79.5,-1
22,-82.9,,-92.5,-85.2,-1
23,-87.5,,-92.4,-82.7,-1
24,-83.6,,-87.0,-81.6,-1
25,-83.9,,-83.6,-85.4,-1
26,-85.5,,-85.1,-84.6,-1
27,-84.9,,-84.8,-85.1,-1
28,-83.0,,-82.6,-83.2,-1
29,-82.6,,-83.8,-79.0,-1
30,-83.2,,-84.0,-78.0,-1
31,-84.6,,-84.9,-78.7,-1
32,-84.5,,-84.3,-78.6,-1
33,-84.5,,-84.1,-80.5,-1
34,-84.3,,-85.7,-87.4,-1
35,-83.2,,-87.0,-80.8,-1
36,-83.1,,-78.9,-79.6,-1
37,-88.2,,-83.3,-69.9,-1
38,-91.2,,-88.3,-74.2,-1
39,-87.9,,-79.9,-84.2,-1
40,-89.0,,-84.7,-85.8,-1
41,-77.9,,-76.1,-89.3,-1
42,-79.2,,-83.2,-83.0,-1
43,-82.5,,-79.0,-84.2,-1
44,-82.1,,-84.3,-85.4,-1
45,-87.1,,-83.8,-86.2,-1
46,-86.8,,-83.4,-82.2,-1
47,-82.2,,-80.9,-78.0,-1
48,-83.8,,-80.0,-78.0,-1
49,-79.9,,-79.7,-82.8,3
50,-80.0,,-79.9,-82.7,3
51,-80.2,,-79.5,-76.2,3
52,-79.9,,-79.2,-77.4,5
53,-79.2,,-79.6,-82.2,5
54,-79.5,,-79.9,-77.2,5
55,-79.7,,-80.0,-77.0,5
56,-79.5,,-80.0,-77.5,5
57,-80.3,,-80.0,-78.0,5
58,-80.3,,-80.0,-78.0,5
59,-80.5,,-80.0,-78.2,5
60,-83.3,,-81.0,-81.6,5
61,-80.7,,-80.0,-78.1,5
62,-80.3,,-80.0,-78.7,5
63,-80.0,,-79.8,-83.6,5
64,-79.9,,-79.7,-79.4,5
